Title,Price,Mileage,Link
Used 2016 Honda Odyssey EX-L,"16,825",NORM REEVES HONDA SUPERSTORE NORTH RICHLAND HILLS,https://www.autotrader.com/cars-for-sale/vehicle/699984295?city=Roanoke&listingType=USED&makeCode=HONDA&maxPrice=24000&mileage=150000&modelCode=ODYSSEY&newSearch=false&referrer=%2Fcars-for-sale%2Fcars-under-24000%2Fhonda%2Fodyssey%2Froanoke-tx%3FisNewSearch%3Dfalse%26maxMileage%3D150000%26searchRadius%3D0%26startYear%3D2018%26trimCodeList%3DODYSSEY%257CEX-L%252CODYSSEY%257CElite%252CODYSSEY%257CTouring%252CODYSSEY%257CTouring%2520Elite%26zip%3D76262&searchRadius=0&startYear=2018&state=TX&trimCode=ODYSSEY%7CEX-L&trimCode=ODYSSEY%7CElite&trimCode=ODYSSEY%7CTouring&trimCode=ODYSSEY%7CTouring%20Elite&zip=76262&clickType=alpha
Used 2018 Honda Odyssey Touring,"23,998","118,013 miles",https://www.autotrader.com/cars-for-sale/vehicle/697899378?city=Roanoke&listingType=USED&makeCode=HONDA&maxPrice=24000&mileage=150000&modelCode=ODYSSEY&newSearch=false&referrer=%2Fcars-for-sale%2Fcars-under-24000%2Fhonda%2Fodyssey%2Froanoke-tx%3FisNewSearch%3Dfalse%26maxMileage%3D150000%26searchRadius%3D0%26startYear%3D2018%26trimCodeList%3DODYSSEY%257CEX-L%252CODYSSEY%257CElite%252CODYSSEY%257CTouring%252CODYSSEY%257CTouring%2520Elite%26zip%3D76262&searchRadius=0&startYear=2018&state=TX&trimCode=ODYSSEY%7CEX-L&trimCode=ODYSSEY%7CElite&trimCode=ODYSSEY%7CTouring&trimCode=ODYSSEY%7CTouring%20Elite&zip=76262&clickType=spotlight
Used 2019 Honda Odyssey EX-L,"22,106","105,571 miles",https://www.autotrader.com/cars-for-sale/vehicle/690368876?city=Roanoke&listingType=USED&makeCode=HONDA&maxPrice=24000&mileage=150000&modelCode=ODYSSEY&newSearch=false&referrer=%2Fcars-for-sale%2Fcars-under-24000%2Fhonda%2Fodyssey%2Froanoke-tx%3FisNewSearch%3Dfalse%26maxMileage%3D150000%26searchRadius%3D0%26startYear%3D2018%26trimCodeList%3DODYSSEY%257CEX-L%252CODYSSEY%257CElite%252CODYSSEY%257CTouring%252CODYSSEY%257CTouring%2520Elite%26zip%3D76262&searchRadius=0&startYear=2018&state=TX&trimCode=ODYSSEY%7CEX-L&trimCode=ODYSSEY%7CElite&trimCode=ODYSSEY%7CTouring&trimCode=ODYSSEY%7CTouring%20Elite&zip=76262&clickType=spotlight
Used 2018 Honda Odyssey EX-L,"23,777","85,223 miles",https://www.autotrader.com/cars-for-sale/vehicle/700363766?city=Roanoke&listingType=USED&makeCode=HONDA&maxPrice=24000&mileage=150000&modelCode=ODYSSEY&newSearch=false&referrer=%2Fcars-for-sale%2Fcars-under-24000%2Fhonda%2Fodyssey%2Froanoke-tx%3FisNewSearch%3Dfalse%26maxMileage%3D150000%26searchRadius%3D0%26startYear%3D2018%26trimCodeList%3DODYSSEY%257CEX-L%252CODYSSEY%257CElite%252CODYSSEY%257CTouring%252CODYSSEY%257CTouring%2520Elite%26zip%3D76262&searchRadius=0&startYear=2018&state=TX&trimCode=ODYSSEY%7CEX-L&trimCode=ODYSSEY%7CElite&trimCode=ODYSSEY%7CTouring&trimCode=ODYSSEY%7CTouring%20Elite&zip=76262&clickType=spotlight
Used 2018 Honda Odyssey EX-L,"23,777","85,223 miles",https://www.autotrader.com/cars-for-sale/vehicle/700363766?city=Roanoke&listingType=USED&makeCode=HONDA&maxPrice=24000&mileage=150000&modelCode=ODYSSEY&newSearch=false&referrer=%2Fcars-for-sale%2Fcars-under-24000%2Fhonda%2Fodyssey%2Froanoke-tx%3FisNewSearch%3Dfalse%26maxMileage%3D150000%26searchRadius%3D0%26startYear%3D2018%26trimCodeList%3DODYSSEY%257CEX-L%252CODYSSEY%257CElite%252CODYSSEY%257CTouring%252CODYSSEY%257CTouring%2520Elite%26zip%3D76262&searchRadius=0&startYear=2018&state=TX&trimCode=ODYSSEY%7CEX-L&trimCode=ODYSSEY%7CElite&trimCode=ODYSSEY%7CTouring&trimCode=ODYSSEY%7CTouring%20Elite&zip=76262&clickType=listing
Used 2018 Honda Odyssey EX-L,"23,015","112,432 miles",https://www.autotrader.com/cars-for-sale/vehicle/700460028?city=Roanoke&listingType=USED&makeCode=HONDA&maxPrice=24000&mileage=150000&modelCode=ODYSSEY&newSearch=false&referrer=%2Fcars-for-sale%2Fcars-under-24000%2Fhonda%2Fodyssey%2Froanoke-tx%3FisNewSearch%3Dfalse%26maxMileage%3D150000%26searchRadius%3D0%26startYear%3D2018%26trimCodeList%3DODYSSEY%257CEX-L%252CODYSSEY%257CElite%252CODYSSEY%257CTouring%252CODYSSEY%257CTouring%2520Elite%26zip%3D76262&searchRadius=0&startYear=2018&state=TX&trimCode=ODYSSEY%7CEX-L&trimCode=ODYSSEY%7CElite&trimCode=ODYSSEY%7CTouring&trimCode=ODYSSEY%7CTouring%20Elite&zip=76262&clickType=listing
Used 2018 Honda Odyssey EX-L,"22,999","97,895 miles",https://www.autotrader.com/cars-for-sale/vehicle/700659776?city=Roanoke&listingType=USED&makeCode=HONDA&maxPrice=24000&mileage=150000&modelCode=ODYSSEY&newSearch=false&referrer=%2Fcars-for-sale%2Fcars-under-24000%2Fhonda%2Fodyssey%2Froanoke-tx%3FisNewSearch%3Dfalse%26maxMileage%3D150000%26searchRadius%3D0%26startYear%3D2018%26trimCodeList%3DODYSSEY%257CEX-L%252CODYSSEY%257CElite%252CODYSSEY%257CTouring%252CODYSSEY%257CTouring%2520Elite%26zip%3D76262&searchRadius=0&startYear=2018&state=TX&trimCode=ODYSSEY%7CEX-L&trimCode=ODYSSEY%7CElite&trimCode=ODYSSEY%7CTouring&trimCode=ODYSSEY%7CTouring%20Elite&zip=76262&clickType=listing
No Title,No Price,No Mileage,No URL
Used 2019 Honda Odyssey EX-L,"22,991","98,487 miles",https://www.autotrader.com/cars-for-sale/vehicle/700527902?city=Roanoke&listingType=USED&makeCode=HONDA&maxPrice=24000&mileage=150000&modelCode=ODYSSEY&newSearch=false&referrer=%2Fcars-for-sale%2Fcars-under-24000%2Fhonda%2Fodyssey%2Froanoke-tx%3FisNewSearch%3Dfalse%26maxMileage%3D150000%26searchRadius%3D0%26startYear%3D2018%26trimCodeList%3DODYSSEY%257CEX-L%252CODYSSEY%257CElite%252CODYSSEY%257CTouring%252CODYSSEY%257CTouring%2520Elite%26zip%3D76262&searchRadius=0&startYear=2018&state=TX&trimCode=ODYSSEY%7CEX-L&trimCode=ODYSSEY%7CElite&trimCode=ODYSSEY%7CTouring&trimCode=ODYSSEY%7CTouring%20Elite&zip=76262&clickType=listing
Used 2018 Honda Odyssey EX-L,"22,938","114,212 miles",https://www.autotrader.com/cars-for-sale/vehicle/700561748?city=Roanoke&listingType=USED&makeCode=HONDA&maxPrice=24000&mileage=150000&modelCode=ODYSSEY&newSearch=false&referrer=%2Fcars-for-sale%2Fcars-under-24000%2Fhonda%2Fodyssey%2Froanoke-tx%3FisNewSearch%3Dfalse%26maxMileage%3D150000%26searchRadius%3D0%26startYear%3D2018%26trimCodeList%3DODYSSEY%257CEX-L%252CODYSSEY%257CElite%252CODYSSEY%257CTouring%252CODYSSEY%257CTouring%2520Elite%26zip%3D76262&searchRadius=0&startYear=2018&state=TX&trimCode=ODYSSEY%7CEX-L&trimCode=ODYSSEY%7CElite&trimCode=ODYSSEY%7CTouring&trimCode=ODYSSEY%7CTouring%20Elite&zip=76262&clickType=listing
Used 2018 Honda Odyssey EX-L,"22,210","91,294 miles",https://www.autotrader.com/cars-for-sale/vehicle/700685431?city=Roanoke&listingType=USED&makeCode=HONDA&maxPrice=24000&mileage=150000&modelCode=ODYSSEY&newSearch=false&referrer=%2Fcars-for-sale%2Fcars-under-24000%2Fhonda%2Fodyssey%2Froanoke-tx%3FisNewSearch%3Dfalse%26maxMileage%3D150000%26searchRadius%3D0%26startYear%3D2018%26trimCodeList%3DODYSSEY%257CEX-L%252CODYSSEY%257CElite%252CODYSSEY%257CTouring%252CODYSSEY%257CTouring%2520Elite%26zip%3D76262&searchRadius=0&startYear=2018&state=TX&trimCode=ODYSSEY%7CEX-L&trimCode=ODYSSEY%7CElite&trimCode=ODYSSEY%7CTouring&trimCode=ODYSSEY%7CTouring%20Elite&zip=76262&clickType=listing
Used 2022 Honda Odyssey EX-L,"17,900","28,388 miles",https://www.autotrader.com/cars-for-sale/vehicle/700303122?city=Roanoke&listingType=USED&makeCode=HONDA&maxPrice=24000&mileage=150000&modelCode=ODYSSEY&newSearch=false&referrer=%2Fcars-for-sale%2Fcars-under-24000%2Fhonda%2Fodyssey%2Froanoke-tx%3FisNewSearch%3Dfalse%26maxMileage%3D150000%26searchRadius%3D0%26startYear%3D2018%26trimCodeList%3DODYSSEY%257CEX-L%252CODYSSEY%257CElite%252CODYSSEY%257CTouring%252CODYSSEY%257CTouring%2520Elite%26zip%3D76262&searchRadius=0&startYear=2018&state=TX&trimCode=ODYSSEY%7CEX-L&trimCode=ODYSSEY%7CElite&trimCode=ODYSSEY%7CTouring&trimCode=ODYSSEY%7CTouring%20Elite&zip=76262&clickType=listing
Used 2019 Honda Odyssey EX-L,"22,900","97,012 miles",https://www.autotrader.com/cars-for-sale/vehicle/693477266?city=Roanoke&listingType=USED&makeCode=HONDA&maxPrice=24000&mileage=150000&modelCode=ODYSSEY&newSearch=false&referrer=%2Fcars-for-sale%2Fcars-under-24000%2Fhonda%2Fodyssey%2Froanoke-tx%3FisNewSearch%3Dfalse%26maxMileage%3D150000%26searchRadius%3D0%26startYear%3D2018%26trimCodeList%3DODYSSEY%257CEX-L%252CODYSSEY%257CElite%252CODYSSEY%257CTouring%252CODYSSEY%257CTouring%2520Elite%26zip%3D76262&searchRadius=0&startYear=2018&state=TX&trimCode=ODYSSEY%7CEX-L&trimCode=ODYSSEY%7CElite&trimCode=ODYSSEY%7CTouring&trimCode=ODYSSEY%7CTouring%20Elite&zip=76262&clickType=listing
Used 2018 Honda Odyssey EX-L,"20,800","116,370 miles",https://www.autotrader.com/cars-for-sale/vehicle/696608244?city=Roanoke&listingType=USED&makeCode=HONDA&maxPrice=24000&mileage=150000&modelCode=ODYSSEY&newSearch=false&referrer=%2Fcars-for-sale%2Fcars-under-24000%2Fhonda%2Fodyssey%2Froanoke-tx%3FisNewSearch%3Dfalse%26maxMileage%3D150000%26searchRadius%3D0%26startYear%3D2018%26trimCodeList%3DODYSSEY%257CEX-L%252CODYSSEY%257CElite%252CODYSSEY%257CTouring%252CODYSSEY%257CTouring%2520Elite%26zip%3D76262&searchRadius=0&startYear=2018&state=TX&trimCode=ODYSSEY%7CEX-L&trimCode=ODYSSEY%7CElite&trimCode=ODYSSEY%7CTouring&trimCode=ODYSSEY%7CTouring%20Elite&zip=76262&clickType=listing
Used 2019 Honda Odyssey EX-L,"19,829","125,612 miles",https://www.autotrader.com/cars-for-sale/vehicle/692447696?city=Roanoke&listingType=USED&makeCode=HONDA&maxPrice=24000&mileage=150000&modelCode=ODYSSEY&newSearch=false&referrer=%2Fcars-for-sale%2Fcars-under-24000%2Fhonda%2Fodyssey%2Froanoke-tx%3FisNewSearch%3Dfalse%26maxMileage%3D150000%26searchRadius%3D0%26startYear%3D2018%26trimCodeList%3DODYSSEY%257CEX-L%252CODYSSEY%257CElite%252CODYSSEY%257CTouring%252CODYSSEY%257CTouring%2520Elite%26zip%3D76262&searchRadius=0&startYear=2018&state=TX&trimCode=ODYSSEY%7CEX-L&trimCode=ODYSSEY%7CElite&trimCode=ODYSSEY%7CTouring&trimCode=ODYSSEY%7CTouring%20Elite&zip=76262&clickType=listing
Used 2018 Honda Odyssey EX-L,"22,498","103,874 miles",https://www.autotrader.com/cars-for-sale/vehicle/700770073?city=Roanoke&listingType=USED&makeCode=HONDA&maxPrice=24000&mileage=150000&modelCode=ODYSSEY&newSearch=false&referrer=%2Fcars-for-sale%2Fcars-under-24000%2Fhonda%2Fodyssey%2Froanoke-tx%3FisNewSearch%3Dfalse%26maxMileage%3D150000%26searchRadius%3D0%26startYear%3D2018%26trimCodeList%3DODYSSEY%257CEX-L%252CODYSSEY%257CElite%252CODYSSEY%257CTouring%252CODYSSEY%257CTouring%2520Elite%26zip%3D76262&searchRadius=0&startYear=2018&state=TX&trimCode=ODYSSEY%7CEX-L&trimCode=ODYSSEY%7CElite&trimCode=ODYSSEY%7CTouring&trimCode=ODYSSEY%7CTouring%20Elite&zip=76262&clickType=listing
Used 2019 Honda Odyssey EX-L,"20,995","122,448 miles",https://www.autotrader.com/cars-for-sale/vehicle/695845491?city=Roanoke&listingType=USED&makeCode=HONDA&maxPrice=24000&mileage=150000&modelCode=ODYSSEY&newSearch=false&referrer=%2Fcars-for-sale%2Fcars-under-24000%2Fhonda%2Fodyssey%2Froanoke-tx%3FisNewSearch%3Dfalse%26maxMileage%3D150000%26searchRadius%3D0%26startYear%3D2018%26trimCodeList%3DODYSSEY%257CEX-L%252CODYSSEY%257CElite%252CODYSSEY%257CTouring%252CODYSSEY%257CTouring%2520Elite%26zip%3D76262&searchRadius=0&startYear=2018&state=TX&trimCode=ODYSSEY%7CEX-L&trimCode=ODYSSEY%7CElite&trimCode=ODYSSEY%7CTouring&trimCode=ODYSSEY%7CTouring%20Elite&zip=76262&clickType=listing
Used 2019 Honda Odyssey EX-L,"20,491","67,769 miles",https://www.autotrader.com/cars-for-sale/vehicle/700858436?city=Roanoke&listingType=USED&makeCode=HONDA&maxPrice=24000&mileage=150000&modelCode=ODYSSEY&newSearch=false&referrer=%2Fcars-for-sale%2Fcars-under-24000%2Fhonda%2Fodyssey%2Froanoke-tx%3FisNewSearch%3Dfalse%26maxMileage%3D150000%26searchRadius%3D0%26startYear%3D2018%26trimCodeList%3DODYSSEY%257CEX-L%252CODYSSEY%257CElite%252CODYSSEY%257CTouring%252CODYSSEY%257CTouring%2520Elite%26zip%3D76262&searchRadius=0&startYear=2018&state=TX&trimCode=ODYSSEY%7CEX-L&trimCode=ODYSSEY%7CElite&trimCode=ODYSSEY%7CTouring&trimCode=ODYSSEY%7CTouring%20Elite&zip=76262&clickType=listing
Used 2018 Honda Odyssey EX-L,"18,995","126,339 miles",https://www.autotrader.com/cars-for-sale/vehicle/700754153?city=Roanoke&listingType=USED&makeCode=HONDA&maxPrice=24000&mileage=150000&modelCode=ODYSSEY&newSearch=false&referrer=%2Fcars-for-sale%2Fcars-under-24000%2Fhonda%2Fodyssey%2Froanoke-tx%3FisNewSearch%3Dfalse%26maxMileage%3D150000%26searchRadius%3D0%26startYear%3D2018%26trimCodeList%3DODYSSEY%257CEX-L%252CODYSSEY%257CElite%252CODYSSEY%257CTouring%252CODYSSEY%257CTouring%2520Elite%26zip%3D76262&searchRadius=0&startYear=2018&state=TX&trimCode=ODYSSEY%7CEX-L&trimCode=ODYSSEY%7CElite&trimCode=ODYSSEY%7CTouring&trimCode=ODYSSEY%7CTouring%20Elite&zip=76262&clickType=listing
Used 2018 Honda Odyssey EX-L,"24,000","84,245 miles",https://www.autotrader.com/cars-for-sale/vehicle/698212686?city=Roanoke&listingType=USED&makeCode=HONDA&maxPrice=24000&mileage=150000&modelCode=ODYSSEY&newSearch=false&referrer=%2Fcars-for-sale%2Fcars-under-24000%2Fhonda%2Fodyssey%2Froanoke-tx%3FisNewSearch%3Dfalse%26maxMileage%3D150000%26searchRadius%3D0%26startYear%3D2018%26trimCodeList%3DODYSSEY%257CEX-L%252CODYSSEY%257CElite%252CODYSSEY%257CTouring%252CODYSSEY%257CTouring%2520Elite%26zip%3D76262&searchRadius=0&startYear=2018&state=TX&trimCode=ODYSSEY%7CEX-L&trimCode=ODYSSEY%7CElite&trimCode=ODYSSEY%7CTouring&trimCode=ODYSSEY%7CTouring%20Elite&zip=76262&clickType=listing
Used 2020 Honda Odyssey EX-L,"24,000","91,531 miles",https://www.autotrader.com/cars-for-sale/vehicle/700171616?city=Roanoke&listingType=USED&makeCode=HONDA&maxPrice=24000&mileage=150000&modelCode=ODYSSEY&newSearch=false&referrer=%2Fcars-for-sale%2Fcars-under-24000%2Fhonda%2Fodyssey%2Froanoke-tx%3FisNewSearch%3Dfalse%26maxMileage%3D150000%26searchRadius%3D0%26startYear%3D2018%26trimCodeList%3DODYSSEY%257CEX-L%252CODYSSEY%257CElite%252CODYSSEY%257CTouring%252CODYSSEY%257CTouring%2520Elite%26zip%3D76262&searchRadius=0&startYear=2018&state=TX&trimCode=ODYSSEY%7CEX-L&trimCode=ODYSSEY%7CElite&trimCode=ODYSSEY%7CTouring&trimCode=ODYSSEY%7CTouring%20Elite&zip=76262&clickType=listing
Used 2018 Honda Odyssey EX-L,"24,000","101,064 miles",https://www.autotrader.com/cars-for-sale/vehicle/697936483?city=Roanoke&listingType=USED&makeCode=HONDA&maxPrice=24000&mileage=150000&modelCode=ODYSSEY&newSearch=false&referrer=%2Fcars-for-sale%2Fcars-under-24000%2Fhonda%2Fodyssey%2Froanoke-tx%3FisNewSearch%3Dfalse%26maxMileage%3D150000%26searchRadius%3D0%26startYear%3D2018%26trimCodeList%3DODYSSEY%257CEX-L%252CODYSSEY%257CElite%252CODYSSEY%257CTouring%252CODYSSEY%257CTouring%2520Elite%26zip%3D76262&searchRadius=0&startYear=2018&state=TX&trimCode=ODYSSEY%7CEX-L&trimCode=ODYSSEY%7CElite&trimCode=ODYSSEY%7CTouring&trimCode=ODYSSEY%7CTouring%20Elite&zip=76262&clickType=listing
Used 2019 Honda Odyssey EX-L,"23,999","90,439 miles",https://www.autotrader.com/cars-for-sale/vehicle/697652777?city=Roanoke&listingType=USED&makeCode=HONDA&maxPrice=24000&mileage=150000&modelCode=ODYSSEY&newSearch=false&referrer=%2Fcars-for-sale%2Fcars-under-24000%2Fhonda%2Fodyssey%2Froanoke-tx%3FisNewSearch%3Dfalse%26maxMileage%3D150000%26searchRadius%3D0%26startYear%3D2018%26trimCodeList%3DODYSSEY%257CEX-L%252CODYSSEY%257CElite%252CODYSSEY%257CTouring%252CODYSSEY%257CTouring%2520Elite%26zip%3D76262&searchRadius=0&startYear=2018&state=TX&trimCode=ODYSSEY%7CEX-L&trimCode=ODYSSEY%7CElite&trimCode=ODYSSEY%7CTouring&trimCode=ODYSSEY%7CTouring%20Elite&zip=76262&clickType=listing
Used 2018 Honda Odyssey Touring,"23,998","118,013 miles",https://www.autotrader.com/cars-for-sale/vehicle/697899378?city=Roanoke&listingType=USED&makeCode=HONDA&maxPrice=24000&mileage=150000&modelCode=ODYSSEY&newSearch=false&referrer=%2Fcars-for-sale%2Fcars-under-24000%2Fhonda%2Fodyssey%2Froanoke-tx%3FisNewSearch%3Dfalse%26maxMileage%3D150000%26searchRadius%3D0%26startYear%3D2018%26trimCodeList%3DODYSSEY%257CEX-L%252CODYSSEY%257CElite%252CODYSSEY%257CTouring%252CODYSSEY%257CTouring%2520Elite%26zip%3D76262&searchRadius=0&startYear=2018&state=TX&trimCode=ODYSSEY%7CEX-L&trimCode=ODYSSEY%7CElite&trimCode=ODYSSEY%7CTouring&trimCode=ODYSSEY%7CTouring%20Elite&zip=76262&clickType=listing
Used 2019 Honda Odyssey Touring,"23,988","97,370 miles",https://www.autotrader.com/cars-for-sale/vehicle/697779070?city=Roanoke&listingType=USED&makeCode=HONDA&maxPrice=24000&mileage=150000&modelCode=ODYSSEY&newSearch=false&referrer=%2Fcars-for-sale%2Fcars-under-24000%2Fhonda%2Fodyssey%2Froanoke-tx%3FisNewSearch%3Dfalse%26maxMileage%3D150000%26searchRadius%3D0%26startYear%3D2018%26trimCodeList%3DODYSSEY%257CEX-L%252CODYSSEY%257CElite%252CODYSSEY%257CTouring%252CODYSSEY%257CTouring%2520Elite%26zip%3D76262&searchRadius=0&startYear=2018&state=TX&trimCode=ODYSSEY%7CEX-L&trimCode=ODYSSEY%7CElite&trimCode=ODYSSEY%7CTouring&trimCode=ODYSSEY%7CTouring%20Elite&zip=76262&clickType=listing
Used 2020 Honda Odyssey EX-L,"23,975","135,159 miles",https://www.autotrader.com/cars-for-sale/vehicle/692585240?city=Roanoke&listingType=USED&makeCode=HONDA&maxPrice=24000&mileage=150000&modelCode=ODYSSEY&newSearch=false&referrer=%2Fcars-for-sale%2Fcars-under-24000%2Fhonda%2Fodyssey%2Froanoke-tx%3FisNewSearch%3Dfalse%26maxMileage%3D150000%26searchRadius%3D0%26startYear%3D2018%26trimCodeList%3DODYSSEY%257CEX-L%252CODYSSEY%257CElite%252CODYSSEY%257CTouring%252CODYSSEY%257CTouring%2520Elite%26zip%3D76262&searchRadius=0&startYear=2018&state=TX&trimCode=ODYSSEY%7CEX-L&trimCode=ODYSSEY%7CElite&trimCode=ODYSSEY%7CTouring&trimCode=ODYSSEY%7CTouring%20Elite&zip=76262&clickType=listing
Used 2018 Honda Odyssey EX-L,"23,795","100,472 miles",https://www.autotrader.com/cars-for-sale/vehicle/697470478?city=Roanoke&listingType=USED&makeCode=HONDA&maxPrice=24000&mileage=150000&modelCode=ODYSSEY&newSearch=false&referrer=%2Fcars-for-sale%2Fcars-under-24000%2Fhonda%2Fodyssey%2Froanoke-tx%3FisNewSearch%3Dfalse%26maxMileage%3D150000%26searchRadius%3D0%26startYear%3D2018%26trimCodeList%3DODYSSEY%257CEX-L%252CODYSSEY%257CElite%252CODYSSEY%257CTouring%252CODYSSEY%257CTouring%2520Elite%26zip%3D76262&searchRadius=0&startYear=2018&state=TX&trimCode=ODYSSEY%7CEX-L&trimCode=ODYSSEY%7CElite&trimCode=ODYSSEY%7CTouring&trimCode=ODYSSEY%7CTouring%20Elite&zip=76262&clickType=listing
Manufacturer Certified 2018 Honda Odyssey EX-L,"23,750","70,290 miles",https://www.autotrader.com/cars-for-sale/vehicle/697045353?city=Roanoke&listingType=USED&makeCode=HONDA&maxPrice=24000&mileage=150000&modelCode=ODYSSEY&newSearch=false&referrer=%2Fcars-for-sale%2Fcars-under-24000%2Fhonda%2Fodyssey%2Froanoke-tx%3FisNewSearch%3Dfalse%26maxMileage%3D150000%26searchRadius%3D0%26startYear%3D2018%26trimCodeList%3DODYSSEY%257CEX-L%252CODYSSEY%257CElite%252CODYSSEY%257CTouring%252CODYSSEY%257CTouring%2520Elite%26zip%3D76262&searchRadius=0&startYear=2018&state=TX&trimCode=ODYSSEY%7CEX-L&trimCode=ODYSSEY%7CElite&trimCode=ODYSSEY%7CTouring&trimCode=ODYSSEY%7CTouring%20Elite&zip=76262&clickType=listing
Used 2018 Honda Odyssey EX-L,"23,639","49,655 miles",https://www.autotrader.com/cars-for-sale/vehicle/672789813?city=Roanoke&listingType=USED&makeCode=HONDA&maxPrice=24000&mileage=150000&modelCode=ODYSSEY&newSearch=false&referrer=%2Fcars-for-sale%2Fcars-under-24000%2Fhonda%2Fodyssey%2Froanoke-tx%3FisNewSearch%3Dfalse%26maxMileage%3D150000%26searchRadius%3D0%26startYear%3D2018%26trimCodeList%3DODYSSEY%257CEX-L%252CODYSSEY%257CElite%252CODYSSEY%257CTouring%252CODYSSEY%257CTouring%2520Elite%26zip%3D76262&searchRadius=0&startYear=2018&state=TX&trimCode=ODYSSEY%7CEX-L&trimCode=ODYSSEY%7CElite&trimCode=ODYSSEY%7CTouring&trimCode=ODYSSEY%7CTouring%20Elite&zip=76262&clickType=listing
Used 2018 Honda Odyssey EX-L,"23,595","111,425 miles",https://www.autotrader.com/cars-for-sale/vehicle/698888803?city=Roanoke&listingType=USED&makeCode=HONDA&maxPrice=24000&mileage=150000&modelCode=ODYSSEY&newSearch=false&referrer=%2Fcars-for-sale%2Fcars-under-24000%2Fhonda%2Fodyssey%2Froanoke-tx%3FisNewSearch%3Dfalse%26maxMileage%3D150000%26searchRadius%3D0%26startYear%3D2018%26trimCodeList%3DODYSSEY%257CEX-L%252CODYSSEY%257CElite%252CODYSSEY%257CTouring%252CODYSSEY%257CTouring%2520Elite%26zip%3D76262&searchRadius=0&startYear=2018&state=TX&trimCode=ODYSSEY%7CEX-L&trimCode=ODYSSEY%7CElite&trimCode=ODYSSEY%7CTouring&trimCode=ODYSSEY%7CTouring%20Elite&zip=76262&clickType=listing
